county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
Umatilla County,Oregon,FALSE,2010,36177,7.7,6.5,8.9,7.8,5.5,6.1,7.1,6,5.1,6.9,6.6,6.4,5.7,4.3,2.7,3.5,1.2,2,39902,6.7,7.1,7.4,7.2,6.3,7.1,6.5,6.4,7.2,7.1,6.2,6.2,6.5,3.6,3.6,1.5,1.8,1.3
Washington County,Oregon,TRUE,2010,270059,6.9,7.3,6.4,5.8,6,7.8,7.9,8.2,6.7,7.2,6.9,5.9,5.6,4,1.9,1.6,1.8,2.2,261685,7.5,7.6,7.4,6.7,6,7.7,8,8.2,7.9,7.1,6.8,5.9,4.9,2.9,2.1,1.2,1.1,1.1
Yamhill County,Oregon,TRUE,2010,48790,6.3,5.5,7.9,7.5,6.8,5.9,6.3,6.4,5.6,7.2,7.1,6.5,6,4.6,2.8,2.1,2.6,2.8,50601,6.4,7.2,7.6,7.6,6.9,6.6,6.2,7.4,6.4,7,6.6,7.1,5.2,4.2,2.3,1.6,2.1,1.7
Adams County,Pennsylvania,FALSE,2010,51986,5.4,5.7,6.8,6.8,6.8,4.6,4.8,5.7,7.1,8.3,8,7.3,6,4.6,3.7,2.9,2.7,2.8,49499,5.4,6.5,6.7,6.8,7.2,5,5.3,6.4,6.5,8.5,7.9,7,6.5,4.6,3.6,2.6,2,1.6
Allegheny County,Pennsylvania,FALSE,2010,637591,4.9,4.8,5.4,6.1,7.2,6.6,5.6,5.2,6.4,7.1,8,7.3,6.2,4.5,4,3.6,3.4,3.8,585992,5.5,5.4,6.2,7,7.5,7.3,6.3,6,6.2,7.3,8,7.4,5.9,4.2,3,2.5,2.5,1.9
Armstrong County,Pennsylvania,FALSE,2010,35077,4.8,5.2,6.2,5.7,4.6,5.2,5.2,5.1,7.2,7.5,8.6,7.3,6.8,4.5,5.1,4.1,3.5,3.3,33762,5.2,5.1,6.9,6.4,5,5.3,5.5,5.2,7.3,8,9,8.7,6.3,4.7,4,2.5,3,2
Beaver County,Pennsylvania,FALSE,2010,87728,4.8,5.2,5.2,5.7,5.1,5.5,5.1,5.7,6.1,7.8,8.6,7.9,6.3,5.1,4.5,3.8,4.8,2.9,82839,5.5,5.9,6.3,6.8,6,5.6,5.6,6.3,5.3,8.2,8.4,8.4,5.8,4.4,3.9,3.8,2.3,1.6
Berks County,Pennsylvania,FALSE,2010,210012,5.9,6,6.9,7.3,6.6,5.5,5.5,5.5,7.7,7.7,7.2,7.2,5,3.9,3.6,2.7,2.9,3.1,201838,6.3,6.8,7.1,8.1,6.7,5.8,5.6,6.1,7.1,7.7,7.7,7,5.3,4.2,2.8,2.5,1.8,1.5
Blair County,Pennsylvania,FALSE,2010,64669,5.2,5.6,4.9,6.9,5.6,5.3,5.3,5.8,5.9,7,8.2,7.2,6.7,5.2,4.1,3.4,4.3,3.5,62362,5.6,6.4,6.4,8.5,6.2,5.7,6.2,6.8,4.9,7.1,7.8,6.8,6.9,5,3,2.9,1.9,1.9
Bucks County,Pennsylvania,FALSE,2010,318710,5.2,5.8,6.8,6.2,5.1,5.1,5,6.3,7.4,8.6,8.5,7.2,6.4,4.7,3.1,2.5,2.8,3.3,306762,5.6,6.8,7,7,5.5,5.6,5.3,5.8,7.6,8.8,8.8,7.1,6.4,4.3,3.1,2.1,1.8,1.6
Butler County,Pennsylvania,TRUE,2010,93172,5.2,6,6.2,7.2,5.9,4.5,5.3,6.5,7,8,8,7.1,6.1,4.5,3.5,2.9,3.2,3.1,90887,5.7,6.2,7.1,7.3,6.2,5,5.4,7.1,6.3,8.1,8.6,7.9,5.7,4.5,3.2,2.4,1.8,1.5
Cambria County,Pennsylvania,FALSE,2010,73215,5.4,5.8,5.3,6.2,6.1,4.6,5.2,5.5,5.7,6.4,8.1,7.5,6.5,5.1,4.4,3.1,4.3,4.9,70283,4.9,5,5.8,6.8,6.9,5.4,5.9,6.8,5.8,7.5,8.3,8,6.7,5.5,3.3,2.5,2.7,2.2
Carbon County,Pennsylvania,FALSE,2010,32555,6.2,5.9,4.6,4.9,5.5,5.2,4.9,6.9,5.9,7.8,8.5,6.8,6.7,6.9,3,3.1,4.1,3,32665,5.3,6.1,6.7,6.4,5.8,5,5.6,6.5,6,8,9,8.3,5.8,5.5,3.4,3,1.9,1.6
Centre County,Pennsylvania,TRUE,2010,73321,4,4.4,4.9,13.9,14.9,6.6,5.5,4.6,5.6,5.8,5.9,5.7,4.9,3.9,2.8,2.1,2.1,2.3,80806,4.6,5.1,3.3,12.8,19.3,8.1,5.3,5.2,5.4,6,5.7,5.4,4.4,3.2,2.2,1.7,1.4,1.1
Chester County,Pennsylvania,TRUE,2010,253724,6,6.5,7.1,7,5.7,5.2,5.4,6.3,7.6,8.2,8,7.1,5.3,4.4,2.9,2.5,2.5,2.2,246073,6.5,7.7,6.9,7.6,6.4,5.6,5.6,6.7,7.2,8.1,8,7.1,5.2,4.1,2.6,1.9,1.6,1.3
Clearfield County,Pennsylvania,FALSE,2010,39466,4.8,5.8,5.5,6.1,4.7,5.5,5.3,6.3,6.4,7.7,7.7,6,7.5,5.8,4.1,3,2.6,5.2,42096,5.2,5.3,5.8,6,8.3,5.9,7.1,8.8,4.8,7.7,7.9,7,5.8,4.9,3.2,2.6,1.8,1.9
Columbia County,Pennsylvania,FALSE,2010,35568,5.1,4.1,4.6,9.9,10.6,5.3,4.2,4.9,6.8,6.7,7,7.8,5.4,4.2,4.1,3.5,3.2,2.5,31700,5,5.5,6.1,8.6,9.4,5.6,5.1,5.3,6.9,7.4,7.5,7.1,6.4,4.6,3.4,3.1,1.9,1.4
Crawford County,Pennsylvania,FALSE,2010,45086,5.5,5.6,6,6.7,6.1,5.4,5,5.3,7.1,7.2,7.9,7.6,6.6,5.6,3.4,3.7,2.5,2.8,43571,5.7,5.5,7.3,7.5,7.6,5.3,5.1,5.3,6.3,7.5,7.5,7.9,6.3,5.9,2.8,3.9,1.7,0.8
Cumberland County,Pennsylvania,TRUE,2010,121113,4.9,5.4,5.3,7.8,8.1,5.7,5.6,5.3,6.6,7.7,7,7.2,6,4.6,3.7,3.4,2.5,3.4,114748,5.5,6.4,6.2,7.1,7.7,6.8,5.8,6,7.1,7.4,7.5,6.1,6.7,4.2,3.3,2.8,2.1,1.2
Dauphin County,Pennsylvania,TRUE,2010,138425,5.9,5.9,6,6.2,6.2,6.6,6.1,7.2,5.6,7.4,8,7.3,5.8,4.4,3.2,2.8,2.2,3.1,129795,6.6,6.7,6.7,7.2,6.1,7,6.1,6.2,7.1,7.4,7.7,7.2,6.2,4,2.7,1.6,1.7,1.7
Delaware County,Pennsylvania,FALSE,2010,290783,5.8,6.3,5.7,7.3,6.9,5.9,5.8,5.8,6.6,7.6,7.8,6.6,5.7,3.8,3.2,3,2.9,3.3,268493,6.4,6.9,6.7,8.6,7.5,6.2,5.9,5.4,7.1,7.5,7.8,6.6,5.5,3.7,2.5,2.1,1.7,2
Erie County,Pennsylvania,FALSE,2010,143282,6,5.5,6.2,7.7,7.9,5.6,5.9,5.3,6.4,7,7.1,6.4,6.4,4.5,3.1,2.5,3.5,3.1,137404,5.8,6.4,6.8,8.2,9.1,5.9,5.3,6.1,6.5,7.4,7.6,6.6,5.7,4,3.2,2.2,1.6,1.7
Fayette County,Pennsylvania,FALSE,2010,69480,4.9,6.3,4.9,5.9,5,5.2,5,5.6,6.9,7.4,7.7,8,6.7,4.3,5,3.2,3.8,4.1,66966,5,5.5,6.2,6.3,6.5,5.7,6,7,6.5,7.4,8.2,8.3,6.5,4.6,3.8,3.3,1.8,1.6
Franklin County,Pennsylvania,TRUE,2010,76060,5.9,5.5,6.6,6.8,5.9,6.2,5.5,5,7.5,6.9,7.4,5.8,6.8,4.8,4.1,4.6,2.2,2.4,73774,7.1,7.8,6.5,7.2,5.1,5.8,5.7,6.6,6.9,7.2,6.9,6.6,6.1,5.1,3.2,2.6,2.2,1.4
Indiana County,Pennsylvania,FALSE,2010,45186,4.6,5.2,4.6,9.1,11.7,5,4.8,4.2,7.2,6.2,7.1,7.5,5.3,4.9,3.3,3.1,1.8,4.4,43661,5.4,5,5.9,9.2,11.4,5.9,5.1,5.3,5.7,6.3,7.7,6.9,6.2,3.7,4.3,2.3,1.6,1.9
Lackawanna County,Pennsylvania,FALSE,2010,111884,4.9,5.8,4.7,6.4,7,5.5,5.1,5.3,6.8,7,7.2,8,6,5.1,3.5,3.3,3.5,5,102483,5.7,4.7,7,7,7.1,6,6,4.6,8.1,7.1,7.8,7.4,6.2,4.4,3.9,2.1,1.9,3
Lancaster County,Pennsylvania,TRUE,2010,265698,6.4,6.6,6.6,7.2,6.9,5.4,5.8,6.1,5.8,7.1,7.3,6.9,5,4.6,3.3,3.1,2.9,3.1,254458,7,7.6,6.8,7.4,7.1,6.1,5.4,6.6,6.4,7,7.4,6.8,5.1,4.2,3,2.5,2,1.7
Lawrence County,Pennsylvania,FALSE,2010,47764,4.8,5.9,7,6.3,5,5,5.1,4.5,6.7,6.9,8,7.8,5.8,5,4,4.3,3.5,4.4,43204,5,5.5,6.4,7.4,5.8,5.6,5.6,4.5,7.7,6.9,8.7,8.2,6.2,5.5,2.9,3.1,2.9,1.9
Lebanon County,Pennsylvania,TRUE,2010,69077,6.3,5.5,6.9,6,5.3,5.9,5.9,5.8,6.5,6.9,6.8,6.3,7.1,5.4,3.5,3.1,3,4,64611,6.3,6.1,6.7,7,5.9,5.9,6.3,6,7.3,7.3,7.8,7.4,5.5,4.9,3.1,2.5,2.7,1.4
Lehigh County,Pennsylvania,TRUE,2010,180304,5.5,6.1,6.3,6.8,6.1,6,5.9,6.9,6,7.7,7.7,6.4,5.8,4.2,3.5,2.8,3,3.2,169802,6.6,7.2,6.8,7.3,5.9,6.2,6.2,6.1,7.3,7.6,7.7,6.9,5.6,4,2.8,2.6,1.9,1.2
Luzerne County,Pennsylvania,FALSE,2010,164741,5.2,5.9,4.7,6.7,5.8,5.2,5.3,6.1,6.6,6.9,7.3,6.7,6.7,4.9,4.2,4.2,3.9,3.9,156054,5.2,5.4,6.1,6.8,6.9,6.1,5.9,6.2,7.7,7.5,7.8,7.2,6.2,4.2,4.2,2.7,2.2,1.8
Lycoming County,Pennsylvania,FALSE,2010,59055,5,6.1,5.4,6.3,6.5,6,5.4,5.1,7.1,7.3,8,8.1,5.1,4.8,3.8,2.4,3.1,4.4,57088,5.7,6.8,5.4,8,8.6,5.8,5,5.6,5.9,7.2,8.4,8.4,5.1,4.7,2.8,2.6,2,1.8
Mercer County,Pennsylvania,FALSE,2010,59419,5.7,5.2,5.6,7.2,6.7,4.6,4.5,5.1,6,7.3,7.8,7,6.5,4,5,3.9,3.6,4.2,57139,5.4,6.4,6.5,7.7,6.4,5,5.1,5.8,6.2,7.5,8.7,7.3,6.2,4.6,3.8,3.1,2.4,2
Monroe County,Pennsylvania,FALSE,2010,86160,5,6.3,7,8,6.6,4.1,5.7,5.7,7.5,9.3,7.9,7.2,5.6,4.6,2.8,2.2,2.5,2,83736,5.3,7.3,6.7,9.6,7.2,4.1,5.3,5.9,7.5,8.4,7.8,8.1,5.4,4,2.9,2.2,1.4,0.9
Montgomery County,Pennsylvania,TRUE,2010,412302,5.6,6.3,5.9,6.2,5.1,5.8,5.9,6.1,7.4,8.1,7.8,6.6,6.1,4.4,3.4,2.9,3.1,3.4,388750,6.2,6.4,7.1,6.9,5.6,6.3,6.2,6.9,6.9,7.9,8,6.5,6,4.5,2.4,2.4,2,1.6
Northampton County,Pennsylvania,TRUE,2010,152439,5.1,5.7,6.2,6.9,5.8,5.4,5.4,6.5,7.2,7.4,7.7,7.6,5.6,4.2,3.8,3.1,3.1,3.3,145662,5.7,5.9,7,7.8,7.2,5.5,5.3,6.2,7.2,8.2,7.5,7,5.7,4.6,2.6,2.6,2.4,1.6
Northumberland County,Pennsylvania,FALSE,2010,47220,4.9,5.8,5.5,5.3,4.9,5.3,5.2,5.5,6.5,7.3,8.3,7.6,6.6,4.5,5.2,4,3.8,3.8,47146,6.7,5.8,5,7.3,5.8,5.9,5.9,4.9,8.1,7.6,7.6,6.8,7.3,4.2,4.4,2.7,1.7,2.5
Philadelphia County,Pennsylvania,TRUE,2010,806500,6.2,5.4,5.6,7.4,9.4,8.8,7.1,6,6,6.4,6.6,5.9,5.1,3.8,3,2.7,2,2.6,721806,7.1,6.7,6.1,8.1,9.9,9,7.4,6.2,6.4,6.5,6.5,5.2,5,3.1,2.5,1.8,1.3,1.3
Schuylkill County,Pennsylvania,FALSE,2010,73350,5.1,5.3,5.6,5.8,4.9,5.5,5.1,5.7,7.1,7.1,7.5,6.7,7.3,5.2,4.1,4.3,3.2,4.4,74878,5.2,5.1,6.2,6,5.4,6.2,6.4,7.9,6.7,7.8,8,7.2,6.5,5.6,2.8,2.6,2.3,1.9
Somerset County,Pennsylvania,FALSE,2010,37974,4.8,5.3,5.6,5.6,4.5,4.8,5,6.9,6,7.3,8.1,7,7.1,6,4.2,4.3,3.7,3.9,39652,4.8,5.8,5.4,5.7,6.3,5.7,6.3,8.1,5.8,7.8,8,8.9,5.8,4.3,4.5,2.5,2.3,2.2
Washington County,Pennsylvania,FALSE,2010,107335,5,4.8,6.2,6.4,5.5,4.7,5.4,5,7.3,7.5,8,6.3,8.1,4.3,4.8,4.3,2.8,3.6,100540,5.5,6,6,7.5,6.3,4.8,5.3,6.1,7.1,7.8,8.2,7,7.4,5,3.1,3.5,1.8,1.7
Westmoreland County,Pennsylvania,FALSE,2010,187722,4.4,5.6,5.2,6,4.8,4.7,4.7,5.7,6.4,7.6,8.4,8.3,6.7,5.9,3.8,4,4,3.7,177290,5,5.9,5.8,6.8,5.3,5.1,5.2,5.9,6.7,8,8.9,8.2,6.8,5.1,3.7,3.1,2.3,2.2
York County,Pennsylvania,TRUE,2010,220559,5.7,6.4,6.1,6.6,5.7,5.8,5.7,6.3,7.5,8.2,7.5,6.5,6.5,4.7,3.1,2.5,2.7,2.7,214931,6.4,7,6.9,7.1,5.8,5.8,5.8,6.4,7.7,7.9,8,6.3,6.5,4.7,2.7,2.3,1.6,1.2
Kent County,Rhode Island,FALSE,2010,85883,4.3,6,4.9,5.9,4.8,5,6,5.9,7.7,8.7,8.4,7.4,6.5,4.7,3.8,4.1,2.3,3.6,80220,5.5,5.8,6.8,6.2,5.7,5.6,5.8,6.8,7.7,8.2,9.1,8,5.7,3.9,3.2,2.8,2.2,1.1
Newport County,Rhode Island,TRUE,2010,43374,4.8,4.9,5.3,6.2,5.9,6.1,4.5,5.7,8.7,7.6,7.3,8.7,6.2,5.5,3.7,3.1,2.7,3.4,39478,5.2,4.7,5.7,7.3,6.8,7,5.2,4.5,8.6,8,7.5,8.4,6.2,4.9,3.6,2.9,2.3,1.2
Providence County,Rhode Island,TRUE,2010,324375,5.6,5.2,6,7.8,8.1,6.8,6.3,5.7,7.2,7.2,7.1,6.4,5,3.7,3.2,2.6,3,3.1,302695,6.3,6.2,6.6,8.1,8.7,7.2,6.5,6.2,7.1,7.3,7.3,5.7,5.5,3.3,2.8,2,1.7,1.5
Washington County,Rhode Island,FALSE,2010,65151,4.5,6.6,4.7,8.3,7.6,4.4,4.4,5.8,6.2,8.7,8.4,7.4,7.3,4.5,3.5,2.5,2.4,3,61857,4.4,6.9,6.1,8.7,8.1,4.4,4.5,5.1,6.6,8.1,8.4,8.9,6.1,5,2.9,2.7,1.3,1.8
Aiken County,South Carolina,TRUE,2010,82794,6,5.3,6.8,7.3,5.9,5.7,5.4,5.7,6.5,7.1,7.8,7.3,6.9,4.6,4.7,2.8,2,2.4,77771,6.4,6.8,7.1,7.2,6.8,6.2,5.4,6.2,5.8,7.5,7.5,6.5,6.3,5.1,3.6,3.4,1.4,0.7
Anderson County,South Carolina,TRUE,2010,97062,6.1,6.5,6.4,6.2,6,5.5,6,6.6,6,7.6,7.2,7.7,5.7,4.9,3.9,3,2.3,2.4,90207,6.6,6.4,8.1,6.6,6,5.3,5.8,6.4,7.8,7.4,7.3,7.1,5.5,4,4,2.7,1.4,1.5
